#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
PSMB5	PSMB6	1854354	1846162	9606.ENSP00000355325	9606.ENSP00000270586	0	0	0.296	0.759	0.856	0.999	0.900	0.912	0	0.999
PSMB7	PSMA2	1844696	1842974	9606.ENSP00000259457	9606.ENSP00000223321	0	0	0	0	0.739	0.999	0.900	0.557	0	0.999
PSMB6	PSMB1	1846162	1845087	9606.ENSP00000270586	9606.ENSP00000262193	0	0	0	0.652	0.909	0.982	0.900	0.792	0	0.999
PSMB5	PSMB7	1854354	1844696	9606.ENSP00000355325	9606.ENSP00000259457	0	0	0.225	0.721	0.893	0.999	0.900	0.875	0	0.999
PSMB2	PSMA4	1855861	1842214	9606.ENSP00000362334	9606.ENSP00000044462	0	0	0	0	0.975	0.998	0.900	0.730	0	0.999
HDAC1	DNMT3B	1855935	1851052	9606.ENSP00000362649	9606.ENSP00000328547	0	0	0	0	0	0.982	0.900	0.687	0	0.999
DNMT1	DNMT3A	1853859	1845601	9606.ENSP00000352516	9606.ENSP00000264709	0	0	0	0	0	0.798	0.900	0.987	0	0.999
PSMA7	PSMB1	1855365	1845087	9606.ENSP00000359910	9606.ENSP00000262193	0	0	0.256	0	0.896	0.998	0.900	0.589	0	0.999
PSMA1	PSMB5	1861079	1854354	9606.ENSP00000414359	9606.ENSP00000355325	0	0	0	0	0.702	0.999	0.900	0.775	0	0.999
MARS	RARS	1845042	1843297	9606.ENSP00000262027	9606.ENSP00000231572	0	0	0	0	0.199	0.994	0.900	0.815	0	0.999
PSMB2	PSMB7	1855861	1844696	9606.ENSP00000362334	9606.ENSP00000259457	0	0	0	0	0.816	0.996	0.900	0.669	0	0.999
PSMA1	PSMA2	1861079	1842974	9606.ENSP00000414359	9606.ENSP00000223321	0	0	0.320	0.833	0.894	0.999	0.900	0.864	0	0.999
PDHB	PDHA2	1848936	1847558	9606.ENSP00000307241	9606.ENSP00000295266	0.462	0.829	0.527	0	0.288	0.924	0.900	0.801	0	0.999
PSMB5	PSMA3	1854354	1842599	9606.ENSP00000355325	9606.ENSP00000216455	0	0	0	0	0.702	0.999	0.900	0.799	0	0.999
PSMA7	PSMB6	1855365	1846162	9606.ENSP00000359910	9606.ENSP00000270586	0	0	0.243	0	0.752	0.997	0.900	0.640	0	0.999
MCM3	MCM5	1843226	1842548	9606.ENSP00000229854	9606.ENSP00000216122	0	0	0.438	0.761	0.974	0.999	0.900	0.989	0	0.999
PSMB4	PSMA3	1847239	1842599	9606.ENSP00000290541	9606.ENSP00000216455	0	0	0	0	0.761	0.998	0.900	0.704	0	0.999
DNMT1	DNMT3B	1853859	1851052	9606.ENSP00000352516	9606.ENSP00000328547	0	0	0	0	0	0.981	0.900	0.987	0	0.999
HSP90AA1	FKBP4	1851814	1842112	9606.ENSP00000335153	9606.ENSP00000001008	0	0	0	0	0.113	0.989	0.900	0.978	0	0.999
PSMB7	PSMA4	1844696	1842214	9606.ENSP00000259457	9606.ENSP00000044462	0	0	0	0	0.738	0.999	0.900	0.488	0	0.999
RPS3	RPS5	1861952	1842374	9606.ENSP00000433821	9606.ENSP00000196551	0.462	0	0	0	0.975	0.999	0.900	0.802	0	0.999
ENO3	PKM	1850612	1850212	9606.ENSP00000324105	9606.ENSP00000320171	0.284	0	0	0	0.974	0.700	0.900	0.767	0	0.999
MCM9	MCM5	1849712	1842548	9606.ENSP00000314505	9606.ENSP00000216122	0	0	0.324	0.714	0.975	0.827	0.900	0.628	0	0.999
PDHA1	PDHB	1857098	1848936	9606.ENSP00000369134	9606.ENSP00000307241	0.462	0.562	0.527	0	0.288	0.999	0.900	0.939	0	0.999
EPRS	RARS	1854472	1843297	9606.ENSP00000355890	9606.ENSP00000231572	0.077	0	0	0	0.532	0.990	0.900	0.788	0	0.999
PSMA7	PSMA2	1855365	1842974	9606.ENSP00000359910	9606.ENSP00000223321	0	0	0.305	0.893	0.873	0.999	0.900	0.709	0	0.999
HDAC1	DNMT1	1855935	1853859	9606.ENSP00000362649	9606.ENSP00000352516	0	0	0	0	0	0.999	0.900	0.876	0	0.999
PSMB1	PSMB7	1845087	1844696	9606.ENSP00000262193	9606.ENSP00000259457	0	0	0	0	0.756	0.999	0.900	0.746	0	0.999
MAP3K3	MAP2K5	1854258	1842333	9606.ENSP00000354927	9606.ENSP00000178640	0	0	0	0.688	0	0.999	0.900	0.700	0	0.999
EPRS	DARS	1854472	1845491	9606.ENSP00000355890	9606.ENSP00000264161	0	0	0	0	0.510	0.980	0.900	0.719	0	0.999
PSMA1	PSMB6	1861079	1846162	9606.ENSP00000414359	9606.ENSP00000270586	0	0	0	0	0.847	0.998	0.900	0.716	0	0.999
PSMA5	PSMB6	1846187	1846162	9606.ENSP00000271308	9606.ENSP00000270586	0	0	0.232	0	0.933	0.984	0.900	0.720	0	0.999
PSMA1	PSMB2	1861079	1855861	9606.ENSP00000414359	9606.ENSP00000362334	0	0	0	0	0.975	0.999	0.900	0.684	0	0.999
FNTA	FNTB	1848527	1843809	9606.ENSP00000303423	9606.ENSP00000246166	0	0	0	0	0.080	0.999	0.900	0.914	0	0.999
LARS	MARS	1858198	1845042	9606.ENSP00000377954	9606.ENSP00000262027	0	0	0	0	0.737	0.988	0.900	0.891	0	0.999
LARS	DARS	1858198	1845491	9606.ENSP00000377954	9606.ENSP00000264161	0.274	0	0	0	0.234	0.971	0.900	0.758	0	0.999
PSMB3	PSMA4	1843022	1842214	9606.ENSP00000225426	9606.ENSP00000044462	0	0	0	0	0.927	0.998	0.900	0.643	0	0.999
PSMA7	PSMA4	1855365	1842214	9606.ENSP00000359910	9606.ENSP00000044462	0	0	0.349	0.867	0.938	0.999	0.900	0.708	0	0.999
PSMA1	PSMB3	1861079	1843022	9606.ENSP00000414359	9606.ENSP00000225426	0	0	0	0	0.891	0.999	0.900	0.768	0	0.999
CDK1	CCNB1	1858283	1844435	9606.ENSP00000378699	9606.ENSP00000256442	0	0	0	0	0.661	0.999	0.900	0.994	0	0.999
PFKM	PFKL	1852972	1846114	9606.ENSP00000345771	9606.ENSP00000269848	0	0	0.527	0.981	0	0.998	0.900	0.860	0	0.999
PSMA5	PSMA4	1846187	1842214	9606.ENSP00000271308	9606.ENSP00000044462	0	0	0.491	0.842	0.975	0.999	0.900	0.860	0	0.999
IDH3B	IDH3A	1857292	1848074	9606.ENSP00000370223	9606.ENSP00000299518	0	0	0.527	0.916	0.863	0.954	0.900	0.814	0	0.999
CDK2	CCNB1	1845906	1844435	9606.ENSP00000266970	9606.ENSP00000256442	0	0	0	0	0.646	0.999	0.900	0.951	0	0.999
PSMA5	PSMA3	1846187	1842599	9606.ENSP00000271308	9606.ENSP00000216455	0	0	0.326	0.833	0.824	0.999	0.900	0.879	0	0.999
PSMA1	PSMB7	1861079	1844696	9606.ENSP00000414359	9606.ENSP00000259457	0	0	0	0	0.750	0.999	0.900	0.589	0	0.999
HDAC3	HDAC5	1848477	1843067	9606.ENSP00000302967	9606.ENSP00000225983	0	0	0	0.653	0	0.992	0.900	0.921	0	0.999
PSMB7	PSMA3	1844696	1842599	9606.ENSP00000259457	9606.ENSP00000216455	0	0	0	0	0.467	0.998	0.900	0.657	0	0.999
PSMA7	PSMB3	1855365	1843022	9606.ENSP00000359910	9606.ENSP00000225426	0	0	0	0	0.872	0.999	0.900	0.668	0	0.999
PSMB6	PSMA3	1846162	1842599	9606.ENSP00000270586	9606.ENSP00000216455	0	0	0	0	0.861	0.998	0.900	0.724	0	0.999
HDAC2	DNMT1	1861837	1853859	9606.ENSP00000430432	9606.ENSP00000352516	0	0	0	0	0	0.945	0.900	0.847	0	0.999
RPS2	RPS5	1852518	1842374	9606.ENSP00000341885	9606.ENSP00000196551	0.462	0	0.242	0	0.973	0.999	0.900	0.785	0	0.999
PSMB5	PSMA4	1854354	1842214	9606.ENSP00000355325	9606.ENSP00000044462	0	0	0	0	0.736	0.999	0.900	0.580	0	0.999
PSMB2	PSMA2	1855861	1842974	9606.ENSP00000362334	9606.ENSP00000223321	0	0	0	0	0.975	0.999	0.900	0.757	0	0.999
PSMA7	PSMB7	1855365	1844696	9606.ENSP00000359910	9606.ENSP00000259457	0	0	0	0	0.729	0.997	0.900	0.671	0	0.999
LARS	KARS	1858198	1850738	9606.ENSP00000377954	9606.ENSP00000325448	0	0	0	0	0.272	0.967	0.900	0.768	0	0.999
CCNC	CDK8	1861768	1857394	9606.ENSP00000428982	9606.ENSP00000370938	0	0	0	0	0	0.999	0.900	0.997	0	0.999
BCKDHB	BCKDHA	1850040	1846123	9606.ENSP00000318351	9606.ENSP00000269980	0.462	0.548	0.526	0	0.288	0.997	0.900	0.934	0	0.999
PSMA2	PSMA3	1842974	1842599	9606.ENSP00000223321	9606.ENSP00000216455	0	0	0.211	0.808	0.733	0.999	0.900	0.906	0	0.999
EPRS	KARS	1854472	1850738	9606.ENSP00000355890	9606.ENSP00000325448	0.132	0	0	0	0.690	0.997	0.900	0.762	0	0.999
PSMB1	PSMB3	1845087	1843022	9606.ENSP00000262193	9606.ENSP00000225426	0	0	0.206	0.758	0.975	0.999	0.900	0.668	0	0.999
UCHL3	CLPB	1856711	1847462	9606.ENSP00000366819	9606.ENSP00000294053	0	0	0	0	0	0.999	0	0	0	0.999
PSMA5	PSMB7	1846187	1844696	9606.ENSP00000271308	9606.ENSP00000259457	0	0	0	0	0.711	0.992	0.900	0.587	0	0.999
PSMB5	PSMA2	1854354	1842974	9606.ENSP00000355325	9606.ENSP00000223321	0	0	0.218	0	0.740	0.999	0.900	0.745	0	0.999
PSMB6	PSMB7	1846162	1844696	9606.ENSP00000270586	9606.ENSP00000259457	0	0	0.208	0.775	0.736	0.999	0.900	0.883	0	0.999
PSMB4	PSMB6	1847239	1846162	9606.ENSP00000290541	9606.ENSP00000270586	0	0	0	0	0.890	0.986	0.900	0.809	0	0.999
FARSA	FARSB	1850232	1846746	9606.ENSP00000320309	9606.ENSP00000281828	0.462	0	0	0	0.734	0.999	0.900	0.934	0	0.999
EPRS	MARS	1854472	1845042	9606.ENSP00000355890	9606.ENSP00000262027	0.088	0	0	0	0.768	0.998	0.900	0.865	0	0.999
MCM9	MCM3	1849712	1843226	9606.ENSP00000314505	9606.ENSP00000229854	0	0	0.295	0.692	0.944	0.827	0.900	0.802	0	0.999
PSMA7	PSMB5	1855365	1854354	9606.ENSP00000359910	9606.ENSP00000355325	0	0	0	0	0.736	0.986	0.900	0.621	0	0.999
HDAC3	HDAC4	1848477	1845573	9606.ENSP00000302967	9606.ENSP00000264606	0	0	0	0.651	0	0.995	0.900	0.946	0	0.999
PSMA1	PSMA5	1861079	1846187	9606.ENSP00000414359	9606.ENSP00000271308	0	0	0.465	0.825	0.860	0.999	0.900	0.770	0	0.999
PSMB4	PSMA2	1847239	1842974	9606.ENSP00000290541	9606.ENSP00000223321	0	0	0	0	0.931	0.999	0.900	0.729	0	0.999
GALT	GALE	1856937	1856128	9606.ENSP00000368119	9606.ENSP00000363621	0.284	0	0	0	0.938	0.725	0.900	0.911	0	0.999
PSMB2	PSMB6	1855861	1846162	9606.ENSP00000362334	9606.ENSP00000270586	0	0	0	0	0.975	0.985	0.900	0.585	0	0.999
PSMB2	PSMB1	1855861	1845087	9606.ENSP00000362334	9606.ENSP00000262193	0	0	0	0.712	0.975	0.999	0.900	0.839	0	0.999
PSMB2	PSMA5	1855861	1846187	9606.ENSP00000362334	9606.ENSP00000271308	0	0	0	0	0.975	0.997	0.900	0.722	0	0.999
PSMB5	PSMB1	1854354	1845087	9606.ENSP00000355325	9606.ENSP00000262193	0	0	0	0.657	0.872	0.999	0.900	0.767	0	0.999
PSMB1	PSMA3	1845087	1842599	9606.ENSP00000262193	9606.ENSP00000216455	0	0	0	0	0.736	0.997	0.900	0.861	0	0.999
PSMB2	PSMB5	1855861	1854354	9606.ENSP00000362334	9606.ENSP00000355325	0	0	0	0	0.975	0.999	0.900	0.900	0	0.999
MAP3K2	MAP2K5	1852699	1842333	9606.ENSP00000343463	9606.ENSP00000178640	0	0	0	0.681	0	0.996	0.900	0.766	0	0.999
MAP2K6	MAP3K4	1864007	1857984	9606.ENSP00000468348	9606.ENSP00000375986	0	0	0	0.711	0	0.998	0.900	0.496	0	0.999
PSMB2	PSMA3	1855861	1842599	9606.ENSP00000362334	9606.ENSP00000216455	0	0	0	0	0.881	0.998	0.900	0.661	0	0.999
PSMB2	PSMB4	1855861	1847239	9606.ENSP00000362334	9606.ENSP00000290541	0	0	0	0	0.975	0.997	0.900	0.794	0	0.999
GALT	GALK1	1856937	1843038	9606.ENSP00000368119	9606.ENSP00000225614	0.462	0	0.485	0	0.701	0.457	0.900	0.884	0	0.999
CDK2	MCM3	1845906	1843226	9606.ENSP00000266970	9606.ENSP00000229854	0	0	0	0	0.654	0.954	0.900	0.972	0	0.999
HSP90AA1	NOS3	1851814	1847875	9606.ENSP00000335153	9606.ENSP00000297494	0	0	0	0	0	0.983	0.900	0.945	0	0.999
PSMA1	PSMA7	1861079	1855365	9606.ENSP00000414359	9606.ENSP00000359910	0	0	0.412	0.842	0.873	0.999	0.900	0.679	0	0.999
PSMA1	PSMA3	1861079	1842599	9606.ENSP00000414359	9606.ENSP00000216455	0	0	0.295	0.756	0.679	0.999	0.900	0.861	0	0.999
MAP2K6	MAP3K7	1864007	1855005	9606.ENSP00000468348	9606.ENSP00000358335	0	0	0	0.666	0	0.999	0.900	0.544	0	0.999
PSMB4	PSMB3	1847239	1843022	9606.ENSP00000290541	9606.ENSP00000225426	0	0	0	0	0.940	0.999	0.900	0.815	0	0.999
PSMB5	PSMA5	1854354	1846187	9606.ENSP00000355325	9606.ENSP00000271308	0	0	0.302	0	0.937	0.982	0.900	0.803	0	0.999
PSMA1	PSMA4	1861079	1842214	9606.ENSP00000414359	9606.ENSP00000044462	0	0	0.424	0.771	0.889	0.999	0.900	0.835	0	0.999
RPS3	RPS2	1861952	1852518	9606.ENSP00000433821	9606.ENSP00000341885	0.462	0	0	0	0.975	0.999	0.900	0.799	0	0.999
CASP9	CASP3	1851230	1849375	9606.ENSP00000330237	9606.ENSP00000311032	0	0	0	0.849	0	0.997	0.900	0.896	0	0.999
PSMA7	PSMA5	1855365	1846187	9606.ENSP00000359910	9606.ENSP00000271308	0	0	0.417	0.877	0.932	0.999	0.900	0.665	0	0.999
PSMB5	PSMB4	1854354	1847239	9606.ENSP00000355325	9606.ENSP00000290541	0	0	0	0	0.868	0.998	0.900	0.817	0	0.999
PSMA5	PSMB1	1846187	1845087	9606.ENSP00000271308	9606.ENSP00000262193	0	0	0.402	0	0.940	0.997	0.900	0.847	0	0.999
PSMA1	PSMB4	1861079	1847239	9606.ENSP00000414359	9606.ENSP00000290541	0	0	0	0	0.784	0.999	0.900	0.695	0	0.999
PSMB3	PSMA3	1843022	1842599	9606.ENSP00000225426	9606.ENSP00000216455	0	0	0	0	0.736	0.999	0.900	0.598	0	0.999
PSMB6	PSMA4	1846162	1842214	9606.ENSP00000270586	9606.ENSP00000044462	0	0	0	0	0.871	0.999	0.900	0.555	0	0.999
PSMB4	PSMB7	1847239	1844696	9606.ENSP00000290541	9606.ENSP00000259457	0	0	0	0	0.738	0.999	0.900	0.750	0	0.999
PSMB1	PSMA2	1845087	1842974	9606.ENSP00000262193	9606.ENSP00000223321	0	0	0.244	0	0.937	0.999	0.900	0.885	0	0.999
HADHB	EHHADH	1850713	1843305	9606.ENSP00000325136	9606.ENSP00000231887	0.608	0	0	0	0.529	0.803	0.900	0.866	0	0.999
PHLPP2	PHLPP1	1853322	1845202	9606.ENSP00000348611	9606.ENSP00000262719	0.068	0	0	0.955	0	0.999	0.900	0.841	0	0.999
PSMB6	PSMA2	1846162	1842974	9606.ENSP00000270586	9606.ENSP00000223321	0	0	0	0	0.857	0.999	0.900	0.645	0	0.999
PSMB5	PSMB3	1854354	1843022	9606.ENSP00000355325	9606.ENSP00000225426	0	0	0	0.674	0.842	0.999	0.900	0.813	0	0.999
HDAC9	HDAC1	1860731	1855935	9606.ENSP00000408617	9606.ENSP00000362649	0	0	0	0.660	0	0.978	0.900	0.994	0	0.998
TOP2A	TOP2B	1860923	1859958	9606.ENSP00000411532	9606.ENSP00000396704	0.608	0	0	0.977	0.288	0.993	0	0.924	0	0.998
KARS	DARS	1850738	1845491	9606.ENSP00000325448	9606.ENSP00000264161	0	0	0	0.635	0.182	0.972	0.900	0.900	0	0.998
SRC	HSP90AA1	1853652	1851814	9606.ENSP00000350941	9606.ENSP00000335153	0	0	0	0	0	0.819	0.900	0.946	0	0.998
DHFR	TYMS	1859928	1849803	9606.ENSP00000396308	9606.ENSP00000315644	0.462	0	0.510	0	0.086	0	0.900	0.937	0	0.998
MAP2K7	MAP3K7	1858552	1855005	9606.ENSP00000381066	9606.ENSP00000358335	0	0	0	0.633	0	0.976	0.900	0.624	0	0.998
MTHFD1L	SHMT2	1854567	1851612	9606.ENSP00000356290	9606.ENSP00000333667	0.578	0	0	0	0.300	0.673	0.900	0.843	0	0.998
PFKP	PFKM	1857335	1852972	9606.ENSP00000370517	9606.ENSP00000345771	0	0	0.527	0.980	0	0.997	0.360	0.889	0	0.998
LARS	LARS2	1858198	1845767	9606.ENSP00000377954	9606.ENSP00000265537	0	0	0	0	0	0	0.800	0.991	0	0.998
ACAA1	EHHADH	1851610	1843305	9606.ENSP00000333664	9606.ENSP00000231887	0.608	0.117	0	0	0.275	0.803	0.900	0.832	0	0.998
HDAC3	KAT2B	1848477	1845408	9606.ENSP00000302967	9606.ENSP00000263754	0	0	0	0	0.094	0.804	0.900	0.920	0	0.998
YARS	EPRS	1855915	1854472	9606.ENSP00000362576	9606.ENSP00000355890	0.284	0	0	0	0.736	0.955	0	0.841	0	0.998
CASP8	CASP3	1853692	1849375	9606.ENSP00000351273	9606.ENSP00000311032	0	0	0	0.850	0	0.983	0.900	0.945	0	0.998
MTHFD1L	SHMT1	1854567	1850087	9606.ENSP00000356290	9606.ENSP00000318868	0.578	0	0	0	0.300	0.673	0.900	0.866	0	0.998
GALM	GALK1	1846241	1843038	9606.ENSP00000272252	9606.ENSP00000225614	0.462	0.745	0.224	0	0.279	0.359	0.900	0.787	0	0.998
GART	ATIC	1857440	1843445	9606.ENSP00000371236	9606.ENSP00000236959	0.608	0	0.473	0	0.975	0	0	0.811	0	0.998
ACAA2	EHHADH	1846948	1843305	9606.ENSP00000285093	9606.ENSP00000231887	0.608	0.046	0	0	0.275	0.803	0.900	0.814	0	0.998
PAPSS2	PAPSS1	1860582	1845706	9606.ENSP00000406157	9606.ENSP00000265174	0.608	0	0.527	0.984	0.975	0	0.900	0.938	0	0.998
SRC	PTK2B	1853652	1851525	9606.ENSP00000350941	9606.ENSP00000332816	0	0	0	0.737	0	0.986	0.900	0.987	0	0.998
MTHFD1	SHMT1	1862707	1850087	9606.ENSP00000450560	9606.ENSP00000318868	0.578	0	0	0	0.300	0.673	0.900	0.891	0	0.998
CDK3	CCNB1	1860200	1844435	9606.ENSP00000400088	9606.ENSP00000256442	0	0	0	0	0.646	0.667	0.900	0.818	0	0.997
KAT2B	TAF9	1845408	1842675	9606.ENSP00000263754	9606.ENSP00000217893	0	0	0	0	0	0.849	0.900	0.816	0	0.997
CDK2	staurosporine	1845906	-100005279	9606.ENSP00000266970	-1.CID100005279	0	0	0	0	0	0.912	0.800	0.848	0	0.997
HDAC1	KAT2B	1855935	1845408	9606.ENSP00000362649	9606.ENSP00000263754	0	0	0	0	0.094	0.566	0.900	0.945	0	0.997
ACACA	FASN	1852858	1848653	9606.ENSP00000344789	9606.ENSP00000304592	0.109	0	0	0	0.648	0	0.900	0.918	0	0.997
MTHFD1	SHMT2	1862707	1851612	9606.ENSP00000450560	9606.ENSP00000333667	0.578	0	0	0	0.300	0.673	0.900	0.812	0	0.997
MCM8	MCM3	1856948	1843226	9606.ENSP00000368174	9606.ENSP00000229854	0	0	0.244	0.699	0.871	0.737	0.900	0.854	0	0.997
MAP2K6	MAP3K5	1864007	1853780	9606.ENSP00000468348	9606.ENSP00000351908	0	0	0	0.682	0	0.961	0.900	0.972	0	0.997
GLDC	DMGDH	1857365	1844361	9606.ENSP00000370737	9606.ENSP00000255189	0.608	0	0	0	0.975	0	0	0.761	0	0.997
GTF2F2	CTDP1	1852373	1848076	9606.ENSP00000340823	9606.ENSP00000299543	0	0	0	0	0	0.942	0.900	0.573	0	0.997
MCM8	MCM5	1856948	1842548	9606.ENSP00000368174	9606.ENSP00000216122	0	0	0.291	0.729	0.889	0.744	0.900	0.735	0	0.997
PPCS	PPCDC	1855709	1852668	9606.ENSP00000361642	9606.ENSP00000343190	0	0	0	0	0	0.359	0.900	0.944	0	0.996
CASP3	GZMB	1849375	1842586	9606.ENSP00000311032	9606.ENSP00000216341	0	0	0	0	0	0.914	0.900	0.585	0	0.996
HDAC2	KAT2B	1861837	1845408	9606.ENSP00000430432	9606.ENSP00000263754	0	0	0	0	0.094	0.566	0.900	0.920	0	0.996
CDK1	MCM3	1858283	1843226	9606.ENSP00000378699	9606.ENSP00000229854	0	0	0	0	0.654	0.698	0	0.965	0	0.996
MTHFD1	GART	1862707	1857440	9606.ENSP00000450560	9606.ENSP00000371236	0.608	0	0	0	0.935	0	0	0.861	0	0.996
GLDC	SHMT1	1857365	1850087	9606.ENSP00000370737	9606.ENSP00000318868	0.284	0	0	0	0.639	0	0.900	0.866	0	0.996
DNMT3B	DNMT3A	1851052	1845601	9606.ENSP00000328547	9606.ENSP00000264709	0	0	0	0.948	0	0.960	0.900	0.933	0	0.996
MAP3K2	MAP2K4	1852699	1845147	9606.ENSP00000343463	9606.ENSP00000262445	0	0	0	0.666	0	0.962	0.900	0.492	0	0.996
MAP2K6	MAP2K3	1864007	1852893	9606.ENSP00000468348	9606.ENSP00000345083	0	0	0.527	0.983	0	0.965	0.900	0.772	0	0.996
HDAC3	HDAC7	1848477	1842249	9606.ENSP00000302967	9606.ENSP00000080059	0	0	0	0.649	0	0.956	0.900	0.913	0	0.996
PSMB11	PSMB2	1859133	1855861	9606.ENSP00000386212	9606.ENSP00000362334	0	0	0	0	0.702	0.590	0.900	0.741	0	0.996
HDAC9	HDAC3	1860731	1848477	9606.ENSP00000408617	9606.ENSP00000302967	0	0	0	0.651	0	0.951	0.900	0.992	0	0.996
GALE	GALK1	1856128	1843038	9606.ENSP00000363621	9606.ENSP00000225614	0.462	0	0	0	0.663	0.584	0	0.955	0	0.996
CPOX	UROD	1845499	1843815	9606.ENSP00000264193	9606.ENSP00000246337	0.284	0	0.201	0	0.485	0	0.900	0.867	0	0.995
PKLR	ENO3	1852273	1850612	9606.ENSP00000339933	9606.ENSP00000324105	0.284	0	0	0	0.974	0	0	0.768	0	0.995
UMPS	DHODH	1843321	1842732	9606.ENSP00000232607	9606.ENSP00000219240	0.608	0	0	0	0.483	0	0.900	0.813	0	0.995
DHFR	SHMT1	1859928	1850087	9606.ENSP00000396308	9606.ENSP00000318868	0	0	0	0	0.128	0	0.900	0.951	0	0.995
GLDC	SHMT2	1857365	1851612	9606.ENSP00000370737	9606.ENSP00000333667	0.284	0	0	0	0.639	0	0.900	0.847	0	0.995
